"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Annual Review of Immunology","Immunology - Generalist/Classical Immunology","Annual Reviews","Non-profit","Hybrid",""
"Annual Review of Linguistics","Neurosciences - Cognitive Neuroscience","Annual Reviews","Non-profit","",""
"Annual Review of Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Annual Reviews","Non-profit","",""
"Annual Review of Neuroscience","Neurosciences - Generalist","Annual Reviews","Non-profit","",""
"Annual Review of Nutrition","Anatomy & Physiology - Nutrition","Annual Reviews","Non-profit","",""
"Annual Review of Pathology: Mechanisms of Disease","Immunology - Immunopathology","Annual Reviews","Non-profit","",""
"Annual Review of Pharmacology and Toxicology","Molecular & Cellular Biology - Pharmacology and Toxicology","Annual Reviews","Non-profit","Hybrid","4247"
"Annual Review of Physiology","Anatomy & Physiology - Physiology","Annual Reviews","Non-profit","",""
"Annual Review of Phytopathology","Plants - Pathology","Annual Reviews","Non-profit","Hybrid","4383"
"Annual Review of Plant Biology","Plants - Generalist","Annual Reviews","Non-profit","OA",""
"Annual Review of Psychology","Neurosciences - Cognitive Neuroscience","Annual Reviews","Non-profit","",""
"Annual Review of Statistics and its Application","Generalist - Statistics","Annual Reviews","Non-profit","",""
"Annual Review of Virology","Immunology - Virology","Annual Reviews","Non-profit","",""
"Annual Review of Vision Science","Neurosciences - Sensory Neuroscience","Annual Reviews","Non-profit","",""
"Anti-Cancer Drugs","Cancer - Treatment","Wolters Kluwer (Lippincott)","For-profit","Hybrid","2789"
"Antimicrobial Agents and Chemotherapy","Cancer - Treatment; Molecular & Cellular Biology - Microbiology and Infectious Diseases","American Society for Microbiology (ASM)","Non-profit","Hybrid","2683"
"Antimicrobial Resistance and Infection Control","Immunology - Immunopathology","Springer Nature (BioMed Central)","For-profit associated with a society","OA","2465"
"Antioxidants and Redox Signaling","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Sage Publishing (Mary-Ann Liebert)","For-profit","Hybrid","3071"
"Antiviral Research","Immunology - Virology","Elsevier","For-profit associated with a society","Hybrid","2793"
"Antiviral Therapy","Immunology - Virology","Sage Publishing","For-profit","OA","1592"
"AOB Plants","Ecology & Evolution - Genetics; Plants - Generalist","Oxford University Press (OUP)","University Press","OA","1216"
"Aphasiology","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","Hybrid","1346"
"Apidologie","Ecology & Evolution - Zoology","Springer Nature","For-profit","Hybrid","2005"
"Apoptosis","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","Hybrid","4220"
"Appetite","Anatomy & Physiology - Nutrition","Elsevier","For-profit","Hybrid","2916"
"Applications in Plant Sciences","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","OA","814"
"Applied and Environmental Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","American Society for Microbiology (ASM)","Non-profit","Hybrid","2956"
"Applied Immunohistochemistry & Molecular Morphology","Immunology - Immunogenetics, Molecular and Cellular Immunology","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","2633"
"Applied Neuropsychology: Adult","Neurosciences - Cognitive Neuroscience","Taylor & Francis Group","For-profit","",""
"Applied Neuropsychology: Child","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Taylor & Francis Group","For-profit","",""
"Applied Physiology, Nutrition, and Metabolism","Anatomy & Physiology - Physiology","Canadian Science Publishing","Non-profit","Hybrid","1308"
"Applied Vegetation Science","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","Hybrid","4034"
"Aquatic Ecosystem Health & Management","Ecology & Evolution - Applied Ecology","Michigan State University Press","University Press associated with a society","Subscription",""
"Aquatic Living Resources","Ecology & Evolution - Applied Ecology","EDP Science","For-profit","OA diamond","0"
"Aquatic Toxicology","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit","Hybrid","3539"
"Arachnology","Ecology & Evolution - Zoology","British Arachnological Society","Non-profit","Subscription",""
"Archives of Biochemistry and Biophysics","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","3119"
"Archives of Disease in Childhood","Development - Childhood and Adolescence","BMJ Group","Non-profit","Hybrid","2666"
"Archives of Disease in Childhood: Fetal and Neonatal Edition","Development - Childhood and Adolescence","BMJ Group","Non-profit","Hybrid","2486"
"Archives of Endocrinology and Metabolism","Anatomy & Physiology - Endocrinology","Brazilian Society of Endocrinology and Metabolism","Non-profit","OA diamond","0"
"Archives of Physiology and Biochemistry","Anatomy & Physiology - Physiology; Molecular & Cellular Biology - Biochemistry and Molecular Biology","Taylor & Francis Group","For-profit","",""
"Archives of Sexual Behavior","Ecology & Evolution - Genetics; Generalist","Springer Nature","For-profit associated with a society","Hybrid","2196"
"Archives of Toxicology","Immunology - Immunotoxicology; Molecular & Cellular Biology - Pharmacology and Toxicology","Springer Nature","For-profit","Hybrid","2519"
"Archives of Virology","Immunology - Virology","Springer Nature","For-profit associated with a society","Hybrid","3556"
"Ardea","Ecology & Evolution - Zoology","Netherland Ornithologist Union","Non-profit","Hybrid",""
"Ardeola","Ecology & Evolution - Zoology","SEO/BirdLife","Non-profit","Subscription",""
"Arthropod-Plant Interactions","Ecology & Evolution - Generalist","Springer Nature","For-profit","Hybrid","2413"
"Arthropod Systematics and Phylogeny","Ecology & Evolution - Zoology","Senckenberg","Non-profit","OA diamond","0"
"Arxius de Miscel-Lania Zoologica","Ecology & Evolution - Zoology","Museu de Ciencies Naturals de Barcelona","Non-profit","OA diamond","0"
"Asian Journal of Andrology","Anatomy & Physiology - Endocrinology","Shanghai Materia Medica, Chinese Academy of Sciences; Shanghai Jiao Tong University","University Press","OA","1468"
"Asian Journal of Pharmaceutical Sciences","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit associated with a society","OA diamond","0"
"Asian Journal of Psychiatry","Neurosciences - Clinical Neuroscience","Elsevier","For-profit","Hybrid","2164"
"ASM Animal Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","American Society for Microbiology (ASM)","Non-profit","",""
"ASN Neuro","Molecular & Cellular Biology - Neuroscience and Neurobiology; Neurosciences - Molecular and Cellular Neuroscience","Taylor & Francis Group","For-profit associated with a society","OA","1621"
"Attention, Perception, and Psychophysics","Neurosciences - Generalist","Springer Nature","For-profit","Hybrid","2903"
"Australasian Journal on Ageing","Anatomy & Physiology - Aging; Development - Aging","John Wiley & Sons","For-profit","Hybrid","2606"
"Australasian Psychiatry","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","",""
"Austral Ecology","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2583"
"Australian and New Zealand Journal of Psychiatry","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","367"
"Australian Journal of Zoology","Ecology & Evolution - Zoology","CSIRO publishing","Non-profit","Hybrid",""
"Australian Systematic Botany","Ecology & Evolution - Genetics; Plants - Generalist","Commonwealth Scientific and Industrial Research Organisation (CSIRO) Publishing","Non-profit","Hybrid",""
"Autism","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit associated with a society","Hybrid","567"
"Autism and Developmental Language Impairments","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Sage Publishing","For-profit","OA","525"
"Autism Research","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","2651"
"Autoimmunity","Immunology - Autoimmunity","Taylor & Francis Group","For-profit","Hybrid","2644"
"Autoimmunity Reviews","Immunology - Autoimmunity","Elsevier","For-profit","Hybrid","4177"
"Autonomic Neuroscience","Neurosciences - Neurophysiology","Elsevier","For-profit associated with a society","Hybrid","2656"
"Autophagy","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Taylor & Francis Group","For-profit","Hybrid","3649"
"Avocetta","Ecology & Evolution - Zoology","Centro Italiano Studi Ornitologici","Non-profit","OA diamond","0"
"Bangladesh Journal of Zoology","Ecology & Evolution - Zoology","Bangladesh Journals Online","Non-profit","OA diamond","0"
"Basic and Applied Ecology","Ecology & Evolution - Genetics","Elsevier","For-profit associated with a society","OA","1518"
"Basic Research in Cardiology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Springer Nature","For-profit","Hybrid","3141"
"Bee World","Ecology & Evolution - Zoology","Taylor & Francis Group","For-profit","Hybrid",""
"Behavioral and Brain Functions","Neurosciences - Behavioral Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","2319"
"Behavioral and Brain Research","Neurosciences - Behavioral Neuroscience","Elsevier","For-profit","Hybrid","2605"
"Behavioral and Brain Sciences","Neurosciences - Behavioral Neuroscience","Cambridge University Press (CUP)","University Press","Subscription",""
